time(mins),Power (kW)
22.90627687,37.83047771
22.94754944,37.83047771
22.98882201,37.81420382
23.03009458,37.81420382
23.07136715,37.81420382
23.11263972,37.87929936
23.1539123,37.92812102
23.19518487,37.91184713
23.23645744,38.04203822
23.27773001,38.12340764
23.31900258,38.26987261
23.36027515,38.40006369
23.40154772,38.43261146
23.44282029,38.51398089
23.48409286,38.49770701
23.52536543,38.49770701
23.56663801,38.49770701
23.60791058,38.53025478
23.64918315,38.56280255
23.69045572,38.51398089
23.73172829,38.46515924
23.77300086,38.48143312
23.81427343,38.53025478
23.855546,38.59535032
23.89681857,38.62789809
23.93809114,38.59535032
23.97936371,38.56280255
24.02063629,38.56280255
24.06190886,38.57907643
24.10318143,38.59535032
24.144454,38.59535032
24.18572657,38.57907643
24.22699914,38.54652866
24.26827171,38.53025478
24.30954428,38.54652866
24.35081685,38.51398089
24.39208942,38.33496815
24.43336199,38.07458599
24.47463457,37.81420382
24.51590714,37.58636943
24.55717971,37.45617834
24.59845228,37.37480892
24.63972485,37.29343949
24.68099742,37.17952229
24.72226999,37.13070064
24.76354256,37.14697452
24.80481513,37.14697452
24.8460877,37.19579618
24.88736028,37.24461783
24.92863285,37.26089172
24.96990542,37.22834395
25.01117799,37.13070064
25.05245056,37.0656051
25.09372313,37.09815287
25.1349957,37.08187898
25.17626827,37.03305732
25.21754084,37.04933121
25.25881341,37.08187898
25.30008598,37.13070064
25.34135856,37.09815287
25.38263113,37.0656051
25.4239037,36.98423567
25.46517627,36.90286624
25.50644884,36.8377707
25.54772141,36.77267516
25.58899398,36.7238535
25.63026655,36.60993631
25.67153912,36.54484076
25.71281169,36.49601911
25.75408426,36.49601911
25.79535684,36.54484076
25.83662941,36.57738854
25.87790198,36.54484076
25.91917455,36.47974522
25.96044712,36.43092357
26.00171969,36.41464968
26.04299226,36.41464968
26.08426483,36.41464968
26.1255374,36.46347134
26.16680997,36.65875796
26.20808255,36.65875796
26.24935512,37.00050955
26.29062769,37.30971338
26.33190026,37.66773885
26.37317283,38.02576433
26.4144454,38.35124204
26.45571797,38.69299363
26.49699054,38.8394586
26.53826311,39.32767516
26.57953568,39.66942675
26.62080825,39.81589172
26.66208083,39.84843949
26.7033534,39.88098726
26.74462597,39.86471338
26.78589854,39.89726115
26.82717111,39.92980892
26.86844368,39.92980892
26.90971625,39.92980892
26.95098882,39.92980892
26.99226139,39.91353503
27.03353396,39.86471338
27.07480653,39.83216561
27.11607911,39.83216561
27.15735168,39.86471338
27.19862425,39.89726115
27.23989682,39.89726115
27.28116939,39.89726115
27.32244196,39.88098726
27.36371453,39.86471338
27.4049871,39.86471338
27.44625967,39.84843949
27.48753224,39.84843949
27.52880482,39.89726115
27.57007739,39.92980892
27.61134996,39.92980892
27.65262253,39.89726115
27.6938951,39.86471338
27.73516767,39.86471338
27.77644024,39.86471338
27.81771281,39.89726115
27.85898538,39.89726115
27.90025795,39.83216561
27.94153052,39.78334395
27.9828031,39.71824841
28.02407567,39.60433121
28.06534824,39.40904459
28.10662081,39.34394904
28.14789338,39.26257962
28.18916595,39.06729299
28.23043852,38.9533758
28.27171109,38.85573248
28.31298366,38.8394586
28.35425623,38.79063694
28.3955288,38.7255414
28.43680138,38.7255414
28.47807395,38.70926752
28.51934652,38.70926752
28.56061909,38.74181529
28.60189166,38.75808917
28.64316423,38.75808917
28.6844368,38.70926752
28.72570937,38.67671975
28.76698194,38.64417197
28.80825451,38.59535032
