Time_mins,power_kw,,,
54.77,156.65,,,
54.82,157.95,,,
54.88,157.41,,,
54.94,156.87,,,
55.00,157.07,,,
55.05,154.21,,,
55.11,155.83,,,
55.17,155.95,,,
55.23,154.33,,,
55.28,155.42,,,
55.34,156.83,,,
55.40,157.37,,,
55.46,157.91,,,
55.51,156.71,,,
55.57,157.25,,,
55.63,157.35,,,
55.69,156.81,,,
55.75,157.15,,,
55.80,157.67,,,
55.86,158.21,,,
55.92,156.70,,,
55.98,156.70,,,
56.03,156.36,,,
56.09,155.45,,,
56.15,154.37,,,
56.21,155.16,,,
56.26,152.64,,,
56.32,154.80,,,
56.38,157.29,,,
56.44,156.75,,,
56.49,158.44,,,
56.55,156.86,,,
56.61,157.40,,,
56.67,155.83,,,
56.72,155.92,,,
56.78,157.00,,,
56.84,156.56,,,
56.90,154.40,,,
56.95,156.70,,,
57.01,156.57,,,
57.07,156.03,,,
57.13,157.57,,,
57.18,157.56,,,
57.24,157.02,,,
57.30,156.92,,,
57.36,157.46,,,
57.41,157.14,,,
57.47,156.60,,,
57.53,156.06,,,
57.59,156.14,,,
57.64,156.68,,,
57.70,156.18,,,
57.76,157.38,,,
57.82,156.84,,,
57.87,156.30,,,
57.93,157.50,,,
57.99,156.96,,,
58.05,156.42,,,
58.10,155.88,,,
58.16,155.83,,,
58.22,156.16,,,
58.28,157.24,,,
58.33,155.71,,,
58.39,156.57,,,
58.45,154.95,,,
58.51,154.34,,,
58.56,154.88,,,
58.62,154.03,,,
58.68,154.09,,,
58.74,154.09,,,
58.79,154.25,,,
58.85,157.57,,,
58.91,157.57,,,
58.97,157.37,,,
59.02,158.99,,,
59.08,158.44,,,
59.14,158.44,,,
59.20,158.44,,,
59.25,158.69,,,
59.31,157.60,,,
59.37,156.18,,,
59.43,156.54,,,
59.48,156.90,,,
59.54,157.26,,,
59.60,157.50,,,
59.66,156.96,,,
59.71,156.99,,,
59.77,157.53,,,
59.83,157.08,,,
59.89,155.67,,,
59.94,155.13,,,
60.00,155.34,,,
60.06,155.79,,,
60.12,155.25,,,
60.17,155.47,,,
60.23,156.55,,,
60.29,156.82,,,
60.35,157.44,,,
60.40,156.90,,,
60.46,156.70,,,
60.52,158.40,,,
60.58,156.78,,,
60.63,154.96,,,
60.69,154.96,,,
60.75,151.48,,,
60.81,147.44,,,
60.87,149.06,,,
60.92,146.57,,,
60.98,147.11,,,
61.04,149.39,,,
61.10,149.74,,,
61.15,149.74,,,
61.21,151.36,,,
61.27,151.55,,,
61.33,152.09,,,
61.38,152.49,,,
61.44,152.76,,,
61.50,153.03,,,
61.56,153.39,,,
61.61,153.93,,,
61.67,154.47,,,
61.73,152.30,,,
61.79,151.76,,,
61.84,152.35,,,
61.90,152.35,,,
61.96,150.67,,,
62.02,151.75,,,
62.07,152.83,,,
62.13,152.35,,,
62.19,152.37,,,
62.25,152.91,,,
62.30,154.73,,,
62.36,154.19,,,
62.42,153.65,,,
62.48,154.64,,,
62.53,153.02,,,
62.59,152.35,,,
62.65,152.35,,,
62.71,153.40,,,
62.76,153.22,,,
62.82,153.22,,,
62.88,152.45,,,
62.94,152.59,,,
62.99,152.72,,,
63.05,152.86,,,
63.11,152.99,,,
63.17,153.13,,,
63.22,153.05,,,
63.28,152.51,,,
63.34,154.09,,,
63.40,153.31,,,
63.45,154.39,,,
63.51,154.70,,,
63.57,154.16,,,
63.63,154.09,,,
63.68,153.95,,,
63.74,153.41,,,
63.80,154.26,,,
63.86,154.12,,,
63.91,155.21,,,
63.97,155.60,,,
64.03,155.06,,,
64.09,153.65,,,
64.14,153.11,,,
64.20,152.57,,,
64.26,152.03,,,
64.32,151.49,,,
64.37,151.48,,,
64.43,151.68,,,
64.49,152.22,,,
64.55,152.76,,,
64.60,152.50,,,
64.66,153.59,,,
64.72,153.22,,,
64.78,153.22,,,
64.83,152.85,,,
64.89,153.05,,,
64.95,152.51,,,
65.01,153.11,,,
65.06,154.07,,,
65.12,153.80,,,
65.18,153.53,,,
65.24,153.26,,,
65.29,153.62,,,
65.35,154.82,,,
65.41,154.28,,,
65.47,154.44,,,
65.52,154.98,,,
65.58,155.52,,,
65.64,155.37,,,
65.70,154.29,,,
65.75,154.96,,,
65.81,153.33,,,
65.87,153.87,,,
65.93,153.77,,,
65.99,153.23,,,
66.04,153.22,,,
66.10,153.22,,,
66.16,153.22,,,
66.22,153.22,,,
66.27,153.14,,,
66.33,152.60,,,
66.39,153.80,,,
66.45,153.26,,,
66.50,152.72,,,
66.56,152.18,,,
66.62,151.64,,,
66.68,152.84,,,
66.73,151.58,,,
66.79,152.66,,,
66.85,152.09,,,
66.91,151.55,,,
66.96,151.01,,,
67.02,151.34,,,
67.08,150.80,,,
67.14,151.66,,,
67.19,153.20,,,
67.25,152.66,,,
67.31,152.46,,,
67.37,152.73,,,
67.42,153.00,,,
67.48,153.11,,,
67.54,152.57,,,
67.60,152.99,,,
67.65,154.07,,,
67.71,155.15,,,
67.77,153.89,,,
67.83,153.35,,,
67.88,153.63,,,
67.94,154.09,,,
68.00,154.09,,,
68.06,154.09,,,
68.11,154.09,,,
68.17,154.09,,,
68.23,154.26,,,
68.29,154.80,,,
68.34,154.58,,,
68.40,154.09,,,
68.46,154.09,,,
68.52,153.83,,,
68.57,153.29,,,
68.63,153.22,,,
68.69,153.36,,,
68.75,153.90,,,
68.80,153.74,,,
68.86,154.05,,,
68.92,152.97,,,
68.98,154.27,,,
69.03,152.65,,,
69.09,154.53,,,
69.15,153.44,,,
69.21,154.52,,,
69.26,154.32,,,
69.32,153.24,,,
69.38,154.09,,,
69.44,152.35,,,
69.49,152.35,,,
69.55,152.35,,,
69.61,152.35,,,
69.67,152.35,,,
69.72,152.35,,,
69.78,152.35,,,
69.84,128.15,,,
69.90,146.49,,,
69.95,130.82,,,
70.01,107.34,,,
70.07,110.29,,,
70.13,98.40,,,
70.18,96.09,,,
70.24,84.20,,,
70.30,83.43,,,
70.36,81.83,,,
70.41,81.83,,,
70.47,82.19,,,
70.53,80.96,,,
70.59,80.96,,,
70.64,81.43,,,
70.70,82.51,,,
70.76,80.93,,,
70.82,79.19,,,
70.88,74.87,,,
70.93,74.55,,,
70.99,74.01,,,
71.05,74.00,,,
71.11,74.00,,,
71.16,74.00,,,
71.22,74.00,,,
71.28,73.96,,,
71.34,73.69,,,
71.39,73.42,,,
71.45,73.15,,,
71.51,77.98,,,
71.57,77.64,,,
71.62,86.28,,,
71.68,81.49,,,
71.74,83.52,,,
71.80,82.98,,,
71.85,91.25,,,
71.91,94.49,,,
71.97,108.64,,,
72.03,106.90,,,
72.08,119.33,,,
72.14,122.42,,,
72.20,124.49,,,
72.26,124.49,,,
72.31,124.49,,,
72.37,124.49,,,
72.43,124.47,,,
72.49,125.06,,,
72.54,127.76,,,
72.60,126.98,,,
72.66,129.68,,,
72.72,131.18,,,
72.77,130.99,,,
