Time_mins,Power (kW)
48.40828402,29.56212766
48.46153846,29.47659574
48.5147929,29.49085106
48.56804734,29.67617021
48.62130178,29.67617021
48.67455621,29.73319149
48.72781065,29.91851064
48.78106509,29.91851064
48.83431953,29.86148936
48.88757396,29.8187234
48.9408284,29.8187234
48.99408284,29.79021277
49.04733728,29.71893617
49.10059172,29.64765957
49.15384615,29.60489362
49.20710059,29.57638298
49.26035503,29.5193617
49.31360947,29.43382979
49.36686391,29.34829787
49.42011834,29.37680851
49.47337278,29.40531915
49.52662722,29.40531915
49.57988166,29.37680851
49.63313609,29.46234043
49.68639053,29.5193617
49.73964497,29.70468085
49.79289941,29.87574468
49.84615385,29.86148936
49.89940828,29.94702128
49.95266272,29.9612766
50.00591716,30.00404255
50.0591716,30.03255319
50.11242604,30.06106383
50.16568047,30.21787234
50.21893491,30.58851064
50.27218935,30.71680851
50.32544379,30.78808511
50.37869822,30.98765957
50.43195266,31.04468085
50.4852071,31.1587234
50.53846154,31.27276596
50.59171598,31.34404255
50.64497041,31.38680851
50.69822485,31.40106383
50.75147929,31.35829787
50.80473373,31.32978723
50.85798817,31.32978723
50.9112426,31.28702128
50.96449704,31.24425532
51.01775148,31.25851064
51.07100592,31.23
51.12426036,31.20148936
51.17751479,31.20148936
51.23076923,31.20148936
51.28402367,31.1587234
51.33727811,31.10170213
51.39053254,31.13021277
51.44378698,31.17297872
51.49704142,31.18723404
51.55029586,31.17297872
51.6035503,31.18723404
51.65680473,31.23
51.71005917,31.23
51.76331361,31.24425532
51.81656805,31.14446809
51.86982249,31.10170213
51.92307692,30.97340426
51.97633136,30.61702128
52.0295858,30.41744681
52.08284024,30.36042553
52.13609467,30.36042553
52.18934911,30.37468085
52.24260355,30.37468085
52.29585799,30.36042553
52.34911243,30.36042553
52.40236686,30.34617021
52.4556213,30.33191489
52.50887574,30.34617021
52.56213018,30.37468085
52.61538462,30.37468085
52.66863905,30.40319149
52.72189349,30.46021277
52.77514793,30.51723404
52.82840237,30.60276596
52.8816568,30.73106383
52.93491124,30.78808511
52.98816568,30.78808511
53.04142012,30.84510638
53.09467456,30.87361702
53.14792899,30.87361702
53.20118343,30.8593617
53.25443787,30.8593617
53.30769231,30.83085106
53.36094675,30.80234043
53.41420118,30.81659574
53.46745562,30.74531915
53.52071006,30.70255319
53.5739645,30.64553191
53.62721893,30.57425532
53.68047337,30.53148936
53.73372781,30.50297872
53.78698225,30.41744681
53.84023669,30.24638298
53.89349112,30.11808511
53.94674556,30.03255319
54,30.01829787
